Dataset,accuracy_with_anomalies_ENDO_FM,accuracy_with_anomalies_RES_NET_101,nmi_with_anomalies_ENDO_FM,nmi_with_anomalies_RES_NET_101,ari_with_anomalies_ENDO_FM,ari_with_anomalies_RES_NET_101,Sigma_ENDO_FM,Sigma_RES_NET_101,minCL_ENDO_FM,minCL_RES_NET_101
ncm_1,0.8697641675466385,0.8243576205561423,0.7209896838342859,0.6387451024438828,0.6290848254405619,0.4959261377431274,Sigma1,Sigma3,300,300
ncm_10,0.7278835386338186,0.8437849944008958,0.7471564729830962,0.6674575783935713,0.603518441900227,0.6428712500803297,Sigma5,Sigma5,300,500
ncm_11,0.9993889398105712,0.874732661167125,0.8213851726999762,0.700068703042004,0.7322619824471115,0.6894951660103671,Sigma4,Sigma5,500,500
ncm_12,0.8945658594211459,0.6792675723567632,0.6962374352065384,0.5996242046443284,0.6950226402920144,0.4236520493944822,Sigma1,Sigma1,500,500
ncm_2,0.8446738620366026,0.8263725950258095,0.7097085270412025,0.7615055933942352,0.6986270680012201,0.7000881608294655,Sigma5,Sigma1,500,300
ncm_3,0.7381451951321863,0.8661351237935375,0.6896273397606336,0.6618787092688196,0.541488397277695,0.6350740548797272,Sigma5,Sigma3,300,500
ncm_4,0.8410958904109589,0.9287671232876712,0.8161036368058634,0.8456330179958389,0.7967274025890625,0.8791153272580062,Sigma3,Sigma1,1000,300
ncm_5,0.7944839857651246,0.8226571767497034,0.8398701484566218,0.6574538569643649,0.7737235218339932,0.6153945047428678,Sigma1,Sigma4,300,500
ncm_6,0.7275462962962963,0.7472222222222222,0.7024685166534939,0.6567304501042647,0.5665382378077354,0.5807934475717197,Sigma2,Sigma1,500,1000
ncm_7,0.8125677139761647,0.6832791621524016,0.6745519794394554,0.5842349818631999,0.7158618022600985,0.4859291630656511,Sigma2,Sigma5,1000,500
ncm_8,0.7637407711238721,0.6751435602953241,0.5212485484848597,0.6091568174085671,0.3889179334877727,0.4129963226170438,Sigma4,Sigma1,300,300
ncm_9,1.0,0.7043752463539614,1.0,0.5902892857395113,1.0,0.424674326871288,Sigma1,Sigma2,300,300
ncm_rmv_1,0.6229435304579813,0.9084037349933304,0.6478335411412546,0.9160699859417264,0.4619174475684162,0.8461125209808522,Sigma1,Sigma1,300,300
ncm_rmv_2,0.8096361185983828,0.6799191374663073,0.8338467524957552,0.726455168980384,0.793620303341209,0.6029409578091793,Sigma1,Sigma3,300,300
ncm_rmv_3,0.6243671954100574,0.6365170435369558,0.642314702387168,0.6104331942373548,0.5080888575304819,0.5087362738707678,Sigma1,Sigma1,300,300
ncm_rmv_4,0.7054781072059689,0.623404673080699,0.7942974100168734,0.6828341499507699,0.6443816692156067,0.4585657560007627,Sigma2,Sigma1,500,500
